"","clust_ID","clust_freq"
"604","Prim1 Cluster_fam_831",2
"605","Prim1 Cluster_fam_834",2
"606","Prim1 Cluster_fam_840",3
"607","Prim1 Cluster_fam_837",3
"608","Prim1 Cluster_fam_839",2
"609","Prim1 Cluster_fam_853",5
"610","Prim1 Cluster_fam_881",2
"611","Prim1 Cluster_fam_895",3
"612","Prim1 Cluster_fam_850",2
"613","Prim1 Cluster_fam_858",2
"614","Prim1 Cluster_fam_899",3
"615","Prim1 Cluster_fam_926",2
"616","Prim1 Cluster_fam_851",3
"617","Prim1 Cluster_fam_883",4
"618","Prim1 Cluster_fam_855",3
"619","Prim1 Cluster_fam_954",2
"620","Prim1 Cluster_fam_861",3
"621","Prim1 Cluster_fam_870",2
"622","Prim1 Cluster_fam_887",4
"623","Prim1 Cluster_fam_924",2
"624","Prim1 Cluster_fam_903",2
"625","Prim1 Cluster_fam_849",2
"626","Prim1 Cluster_fam_896",2
"627","Prim1 Cluster_fam_977",2
"628","Prim1 Cluster_fam_865",2
"629","Prim1 Cluster_fam_859",2
"630","Prim1 Cluster_fam_860",2
"631","Prim1 Cluster_fam_867",2
"632","Prim1 Cluster_fam_1018",2
"633","Prim1 Cluster_fam_882",2
"634","Prim1 Cluster_fam_862",2
"635","Prim1 Cluster_fam_904",3
"636","Prim1 Cluster_fam_900",3
"637","Prim1 Cluster_fam_944",2
"638","Prim1 Cluster_fam_889",3
"639","Prim1 Cluster_fam_897",4
"640","Prim1 Cluster_fam_877",5
"641","Prim1 Cluster_fam_940",3
"642","Prim1 Cluster_fam_863",2
"643","Prim1 Cluster_fam_948",2
"644","Prim1 Cluster_fam_969",3
"645","Prim1 Cluster_fam_888",2
"646","Prim1 Cluster_fam_872",2
"647","Prim1 Cluster_fam_943",4
"648","Prim1 Cluster_fam_906",14
"649","Prim1 Cluster_fam_1035",2
"650","Prim1 Cluster_fam_914",2
"651","Prim1 Cluster_fam_934",3
"652","Prim1 Cluster_fam_898",3
"653","Prim1 Cluster_fam_884",3
"654","Prim1 Cluster_fam_885",3
"655","Prim1 Cluster_fam_916",2
"656","Prim1 Cluster_fam_956",3
"657","Prim1 Cluster_fam_penta_02",4
"658","Prim1 Cluster_fam_891",2
"659","Prim1 Cluster_fam_1043",2
"660","Prim1 Cluster_fam_875",4
"661","Prim1 Cluster_fam_907",2
"662","Prim1 Cluster_fam_937",2
"663","Prim1 Cluster_fam_922",3
"664","Prim1 Cluster_fam_892",2
"665","Prim1 Cluster_fam_925",2
"666","Prim1 Cluster_fam_894",2
"667","Prim1 Cluster_fam_912",3
"668","Prim1 Cluster_fam_917",2
"669","Prim1 Cluster_fam_911",4
"670","Prim1 Cluster_fam_890",2
"671","Prim1 Cluster_fam_908",2
"672","Prim1 Cluster_fam_905",8
"673","Prim1 Cluster_fam_902",3
"674","Prim1 Cluster_fam_909",2
"675","Prim1 Cluster_fam_923",2
"676","Prim1 Cluster_fam_921",6
"677","Prim1 Cluster_fam_913",2
"678","Prim1 Cluster_fam_910",4
"679","Prim1 Cluster_fam_919",5
"680","Prim1 Cluster_fam_959",4
"681","Prim1 Cluster_fam_915",3
"682","Prim1 Cluster_fam_928",7
"683","Prim1 Cluster_fam_929",4
"684","Prim1 Cluster_fam_950",3
"685","Prim1 Cluster_fam_989",4
"686","Prim1 Cluster_fam_955",2
"687","Prim1 Cluster_fam_932",3
"688","Prim1 Cluster_fam_933",2
"689","Prim1 Cluster_fam_927",4
"690","Prim1 Cluster_fam_970",2
"691","Prim1 Cluster_fam_1002",3
"692","Prim1 Cluster_fam_1005",3
"693","Prim1 Cluster_fam_930",2
"694","Prim1 Cluster_fam_920",3
"695","Prim1 Cluster_fam_935",2
"696","Prim1 Cluster_fam_947",2
