"","clustsize","category"
"593",2,"All clusters"
"594",3,"All clusters"
"595",8,"All clusters"
"596",4,"All clusters"
"597",2,"All clusters"
"598",2,"All clusters"
"599",2,"All clusters"
"600",2,"All clusters"
"601",3,"All clusters"
"602",2,"All clusters"
"603",2,"All clusters"
"604",2,"All clusters"
"605",2,"All clusters"
"606",3,"All clusters"
"607",3,"All clusters"
"608",2,"All clusters"
"609",5,"All clusters"
"610",2,"All clusters"
"611",3,"All clusters"
"612",2,"All clusters"
"613",2,"All clusters"
"614",3,"All clusters"
"615",2,"All clusters"
"616",3,"All clusters"
"617",4,"All clusters"
"618",3,"All clusters"
"619",2,"All clusters"
"620",3,"All clusters"
"621",2,"All clusters"
"622",4,"All clusters"
"623",2,"All clusters"
"624",2,"All clusters"
"625",2,"All clusters"
"626",2,"All clusters"
"627",2,"All clusters"
"628",2,"All clusters"
"629",2,"All clusters"
"630",2,"All clusters"
"631",2,"All clusters"
"632",2,"All clusters"
"633",2,"All clusters"
"634",2,"All clusters"
"635",3,"All clusters"
"636",3,"All clusters"
"637",2,"All clusters"
"638",3,"All clusters"
"639",4,"All clusters"
"640",5,"All clusters"
"641",3,"All clusters"
"642",2,"All clusters"
"643",2,"All clusters"
"644",3,"All clusters"
"645",2,"All clusters"
"646",2,"All clusters"
"647",4,"All clusters"
"648",14,"All clusters"
"649",2,"All clusters"
"650",2,"All clusters"
"651",3,"All clusters"
"652",3,"All clusters"
"653",3,"All clusters"
"654",3,"All clusters"
"655",2,"All clusters"
"656",3,"All clusters"
"657",4,"All clusters"
"658",2,"All clusters"
"659",2,"All clusters"
"660",4,"All clusters"
"661",2,"All clusters"
"662",2,"All clusters"
"663",3,"All clusters"
"664",2,"All clusters"
"665",2,"All clusters"
"666",2,"All clusters"
"667",3,"All clusters"
"668",2,"All clusters"
"669",4,"All clusters"
"670",2,"All clusters"
"671",2,"All clusters"
"672",8,"All clusters"
"673",3,"All clusters"
"674",2,"All clusters"
"675",2,"All clusters"
"676",6,"All clusters"
"677",2,"All clusters"
"678",4,"All clusters"
"679",5,"All clusters"
"680",4,"All clusters"
"681",3,"All clusters"
"682",7,"All clusters"
"683",4,"All clusters"
"684",3,"All clusters"
"685",4,"All clusters"
"686",2,"All clusters"
"687",3,"All clusters"
"688",2,"All clusters"
"689",4,"All clusters"
"690",2,"All clusters"
"691",3,"All clusters"
"692",3,"All clusters"
"693",2,"All clusters"
"694",3,"All clusters"
"695",2,"All clusters"
"696",2,"All clusters"
"697",4,"All clusters"
"698",2,"All clusters"
"699",2,"All clusters"
"700",3,"All clusters"
"701",2,"All clusters"
"702",2,"All clusters"
"703",2,"All clusters"
"704",2,"All clusters"
"705",3,"All clusters"
"706",3,"All clusters"
"707",2,"All clusters"
"708",2,"All clusters"
"709",2,"All clusters"
"710",2,"All clusters"
"711",2,"All clusters"
"712",4,"All clusters"
"713",2,"All clusters"
"714",2,"All clusters"
"715",3,"All clusters"
"716",2,"All clusters"
"717",4,"All clusters"
"718",4,"All clusters"
"719",2,"All clusters"
"720",2,"All clusters"
"721",2,"All clusters"
"722",2,"All clusters"
"723",6,"All clusters"
"724",5,"All clusters"
"725",2,"All clusters"
"726",3,"All clusters"
"727",2,"All clusters"
"728",6,"All clusters"
"729",4,"All clusters"
"730",4,"All clusters"
"731",4,"All clusters"
"732",3,"All clusters"
"733",3,"All clusters"
"734",4,"All clusters"
"735",2,"All clusters"
"736",3,"All clusters"
"737",2,"All clusters"
"738",2,"All clusters"
"739",4,"All clusters"
"740",3,"All clusters"
"741",3,"All clusters"
"742",4,"All clusters"
"743",4,"All clusters"
"744",4,"All clusters"
"745",10,"All clusters"
"746",3,"All clusters"
"747",2,"All clusters"
"748",4,"All clusters"
"749",2,"All clusters"
"750",5,"All clusters"
"751",3,"All clusters"
"752",12,"All clusters"
"753",3,"All clusters"
"754",3,"All clusters"
"755",2,"All clusters"
"756",2,"All clusters"
"757",3,"All clusters"
"758",2,"All clusters"
"759",4,"All clusters"
"760",3,"All clusters"
"761",2,"All clusters"
"762",4,"All clusters"
"763",3,"All clusters"
"764",4,"All clusters"
"765",7,"All clusters"
"766",2,"All clusters"
"767",3,"All clusters"
"768",3,"All clusters"
"769",4,"All clusters"
"770",3,"All clusters"
"771",5,"All clusters"
"772",2,"All clusters"
"773",2,"All clusters"
"774",2,"All clusters"
"775",2,"All clusters"
"776",3,"All clusters"
"777",2,"All clusters"
"778",3,"All clusters"
"779",3,"All clusters"
"780",4,"All clusters"
"781",2,"All clusters"
"782",3,"All clusters"
"783",5,"All clusters"
"784",2,"All clusters"
"785",3,"All clusters"
"786",3,"All clusters"
"787",2,"All clusters"
"788",4,"All clusters"
"789",5,"All clusters"
"790",4,"All clusters"
"791",3,"All clusters"
"792",3,"All clusters"
"793",2,"All clusters"
"794",2,"All clusters"
"795",4,"All clusters"
"796",3,"All clusters"
"797",2,"All clusters"
"798",5,"All clusters"
"799",2,"All clusters"
"800",2,"All clusters"
"801",2,"All clusters"
"802",4,"All clusters"
"803",3,"All clusters"
"804",3,"All clusters"
"805",2,"All clusters"
"806",2,"All clusters"
"807",4,"All clusters"
"808",3,"All clusters"
"809",8,"All clusters"
"810",2,"All clusters"
"811",3,"All clusters"
